Algo,Dataset,BestVersion,BestScore,BestParm,Accuracy,Precision,Recall,F1_Score,ROC_AUC,TN,FP,FN,TP
KNN,TRAIN,4,0.651045422,Neighbors = 21,0.854883628,0.74066103,0.641715503,0.687647185,-1,20967,1687,2690,4818
KNN,TEST,4,0.651045422,Neighbors = 21,0.845219124,0.711985135,0.621351351,0.663587819,-1,10430,930,1401,2299
LOGIT,TRAIN,4,0.667149059,Penalty = l1; C = 1.0,0.848915854,0.736875903,0.611347896,0.668268181,-1,21015,1639,2918,4590
LOGIT,TEST,4,0.667149059,Penalty = l1; C = 1.0,0.848074369,0.73086985,0.604054054,0.661438295,-1,10537,823,1465,2235
SVM,TRAIN,4,0.659646484,C = 1,0.851435581,0.758762182,0.591102824,0.664520476,-1,21243,1411,3070,4438
SVM,TEST,4,0.659646484,C = 1,0.852722444,0.758188153,0.588108108,0.662404871,-1,10666,694,1524,2176
DECISION TREE,TRAIN,4,0.681520315,Max Tree Depth = 15,0.899608779,0.827677004,0.753596164,0.788901283,-1,21476,1178,1850,5658
DECISION TREE,TEST,4,0.681520315,Max Tree Depth = 15,0.838645418,0.69138035,0.62,0.653747506,-1,10336,1024,1406,2294
NAIVE BAYES,TRAIN,1,0.612700993,No hyper-parameter tunning,0.794675419,0.577801444,0.650372936,0.611943104,-1,19086,3568,2625,4883
NAIVE BAYES,TEST,1,0.612700993,No hyper-parameter tunning,0.796015936,0.582328264,0.60027027,0.591163162,-1,9767,1593,1479,2221
ADABOOST,TRAIN,2,0.706132577,Estimators = 10; Max Tree Depth = 6,0.876699158,0.787437415,0.691262653,0.736222427,-1,21253,1401,2318,5190
ADABOOST,TEST,2,0.706132577,Estimators = 10; Max Tree Depth = 6,0.788579017,0.640983607,0.317027027,0.424231465,-1,10703,657,2527,1173
RANDOM ROREST,TRAIN,4,0.654757282,Estimators = 50; Max Tree Depth = 12,0.869438366,0.831168831,0.596696857,0.694681346,-1,21744,910,3028,4480
RANDOM ROREST,TEST,4,0.654757282,Estimators = 50; Max Tree Depth = 12,0.855843293,0.792351816,0.56,0.65621536,-1,10817,543,1628,2072
ENSEMBLE,TRAIN,-1,-1,N/A,0.866653405,0.789054726,0.633724028,0.702910326,-1,21382,1272,2750,4758
ENSEMBLE,TEST,-1,-1,N/A,0.856440903,0.773082386,0.588378378,0.668201351,-1,10721,639,1523,2177
