yearweekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases2
200026,0.19288570000000002,0.13225710000000002,0.3408857,0.2472,25.41,23.590000000000032,25.30000000000001,22.03428571400002,34.150000000000034,19.950000000000045,43.19,92.4185714286,8.92857142857,26.4,10.775,32.5,20.7,3.0,0
200027,0.2168333,0.2761,0.28945709999999997,0.24165709999999999,60.61,23.484285714000066,25.27857142900001,22.208571429000017,33.450000000000045,17.950000000000045,46.0,93.5814285714,10.314285714299999,26.9,11.566666666700002,34.0,20.8,55.6,0
200028,0.1767571,0.1731286,0.20411429999999997,0.1280143,55.52,23.26571428599999,24.242857143000037,22.472857143,31.350000000000023,19.450000000000045,64.77,95.84857142860001,7.385714285710001,26.8,11.4666666667,33.0,20.7,38.1,0
200029,0.2277286,0.14542860000000002,0.2542,0.20031429999999997,5.6,22.207142857000008,23.07857142900002,19.647142857000006,30.450000000000045,15.450000000000045,23.96,87.2342857143,9.114285714289998,25.7666666667,10.5333333333,31.5,14.7,30.0,0
200030,0.3286429,0.3221286,0.25437139999999997,0.3610429,62.76,23.282857143,24.485714286000018,20.80714285700003,33.85000000000002,18.350000000000023,31.8,88.1614285714,9.5,26.6,11.48,33.3,19.1,4.0,0
200031,0.2055286,0.1907571,0.2316714,0.2553143,16.24,24.041428570999983,25.135714285999995,18.575714285999993,33.05000000000001,15.350000000000023,1.0,74.72857142859999,13.771428571400001,25.34,10.94,32.0,17.0,11.5,0
200032,0.3124857,0.3299857,0.38058569999999997,0.38727140000000004,89.37,24.170000000000016,25.82857142900002,20.671428571000035,35.650000000000034,18.950000000000045,26.68,83.27571428569999,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9,0
200033,0.3841333,0.39224000000000003,0.34178000000000003,0.38275,42.08,24.477142857000047,26.185714286000007,20.842857143000003,34.75,17.450000000000045,16.9,82.49,13.7,26.5833333333,10.3166666667,33.0,20.5,50.1,0
200034,0.4081571,0.3221571,0.40671430000000003,0.3027143,49.22,25.088571429000012,26.421428571000035,19.754285714000048,36.950000000000045,18.150000000000034,5.59,74.74,13.771428571400001,26.9,13.4,34.0,19.0,89.2,0
200035,0.33204290000000003,0.3210571,0.3146143,0.32425709999999996,53.65,26.06857142900003,27.77857142900001,20.32285714300002,37.35000000000002,19.75,16.07,74.1514285714,12.457142857100001,27.116666666700002,12.2666666667,34.0,20.0,78.0,0
200036,0.2955857,0.2956833,0.3122143,0.26592859999999996,23.12,27.652857143000006,28.78571428600003,17.485714286000018,39.650000000000034,18.350000000000023,2.5,57.7871428571,14.9,28.366666666700002,12.9,35.8,21.7,56.9,1
200037,0.2846571,0.3097571,0.3878833,0.3281571,34.62,26.708571429000017,28.22142857099999,20.49000000000001,37.55000000000001,19.150000000000034,4.1,71.66,13.857142857100001,27.425,12.775,34.5,20.5,18.9,0
200038,0.3488143,0.2957167,0.4048429,0.2425714,97.55,24.28571428600003,25.36428571400006,19.55714285700003,37.05000000000001,15.150000000000034,3.2,77.4871428571,11.3142857143,27.5333333333,12.566666666700002,36.0,20.5,104.2,0
200039,0.17568570000000003,0.09948333,0.2257143,0.18278570000000002,95.89,26.20571428599999,27.735714286000018,20.06714285700002,37.650000000000034,16.850000000000023,2.6,71.4628571429,14.9428571429,27.15,12.175,34.0,20.5,57.9,0
200040,0.33754,0.2769429,0.2775,0.25505,46.22,25.222857143,27.350000000000023,21.51428571400004,36.650000000000034,19.55000000000001,16.6,82.3714285714,11.9714285714,26.7,11.675,34.0,20.0,63.0,0
200041,0.22353330000000002,0.1339143,0.3498,0.1009167,31.1,25.32428571400004,27.135714285999995,21.442857143000026,36.05000000000001,18.75,21.9,81.5228571429,13.485714285699999,27.657142857100002,11.3,34.0,21.0,3.0,1
200042,0.2748,0.1870571,0.3739429,0.27947140000000004,25.21,26.06142857100002,28.0,20.857142857000042,38.650000000000034,19.150000000000034,9.9,75.54,14.9285714286,27.775,12.275,36.0,21.0,45.2,1
200043,0.3673,0.30555,0.45538,0.3258,49.25,26.391428571000006,27.950000000000045,21.55857142900004,37.05000000000001,18.75,23.3,76.94142857140001,13.457142857100001,28.0,12.4666666667,34.6,20.0,57.9,0
200044,0.2951,0.21151999999999999,0.3044,0.2796167,67.64,26.29000000000002,27.671428571000035,22.124285714000052,39.05000000000001,19.25,20.2,79.4285714286,13.328571428599998,27.6,12.333333333299999,35.5,21.1,7.1,0
200045,0.2713667,0.15156670000000003,0.34725,0.23186669999999998,51.83,27.59857142900006,28.657142857000053,22.129999999999995,37.25,21.150000000000034,19.2,74.8028571429,12.871428571400001,28.175,12.25,35.2,21.5,13.5,0
200046,0.09993333,0.03586,0.1954857,0.06418333,39.25,28.487142857000038,29.464285714000027,21.082857143000012,38.650000000000034,21.05000000000001,3.6,67.1857142857,13.371428571400001,29.025,13.1,36.4,21.7,0.0,0
200047,0.16998329999999998,0.2893,0.3009833,0.1709167,55.91,27.722857143,28.76428571400004,19.910000000000025,37.950000000000045,20.450000000000045,11.2,66.0428571429,13.142857142899999,27.7,11.35,36.5,21.5,93.32222222222224,0
200048,0.2519714,0.2538,0.3235143,0.3191,20.65,26.08000000000004,28.11428571400006,21.56714285700002,36.85000000000002,20.350000000000023,14.5,78.88571428569999,12.014285714300001,27.05,11.575,34.2,21.0,19.0,0
200049,0.1658333,0.18241429999999997,0.2545667,0.18625,24.53,27.092857143000003,27.878571429000033,20.155714286000034,39.05000000000001,18.850000000000023,1.7,68.5571428571,15.457142857100001,28.0,12.0,34.0,22.0,0.8,0
200050,0.3387857,0.31682859999999996,0.3503429,0.2977,111.06,25.607142857000042,27.192857143000026,21.370000000000005,38.25,18.75,48.76,80.4085714286,11.9714285714,26.616666666700002,9.65,33.8,21.0,67.2,1
200051,0.2650143,0.16905710000000002,0.23486669999999998,0.3022429,3.9,27.26142857100001,28.850000000000023,17.942857143000026,38.05000000000001,21.450000000000045,5.7,60.641428571400006,13.0,28.2,12.2833333333,35.0,21.0,0.0,0
200101,0.2547143,0.2285286,0.2505857,0.287,59.11,24.80857142900004,25.835714285999984,23.840000000000032,32.35000000000002,20.05000000000001,64.6,94.9557142857,6.94285714286,27.3333333333,11.0,33.3,21.8,38.9,0
200102,0.3021333,0.20351670000000002,0.2674333,0.27399999999999997,69.85,24.894285714000034,26.26428571400004,21.195714285999998,36.650000000000034,19.350000000000023,22.98,82.3471428571,11.0857142857,27.0,11.225,33.2,20.7,59.9,0
200103,0.17475710000000003,0.1033167,0.2582429,0.1767286,149.71,25.218571429000065,27.085714285999984,21.911428570999988,35.55000000000001,20.850000000000023,24.92,84.1757142857,11.014285714300001,27.05,10.9,33.0,20.5,52.0,0
200104,0.2376,0.1912667,0.12585710000000003,0.2314429,50.02,22.57285714300002,23.521428571,21.444285714000046,28.650000000000034,19.150000000000034,88.03,94.05714285709999,5.62857142857,25.7166666667,9.433333333330001,31.2,20.0,166.9,0
200105,0.3415,0.2606667,0.3293857,0.36907140000000005,87.18,22.147142857000006,22.950000000000045,21.26142857100001,29.05000000000001,19.05000000000001,80.95,95.40714285709998,5.1428571428600005,26.4333333333,9.666666666669999,33.0,20.0,147.8,0
200106,0.2335857,0.161,0.1966143,0.2267,31.93,22.361428571000033,22.978571429000056,20.25857142900003,30.450000000000045,19.350000000000023,16.4,89.08,6.17142857143,27.35,10.025,34.2,21.7,3.3,0
200107,0.15541429999999998,0.13501670000000002,0.1485286,0.1571,66.84,22.220000000000027,23.342857143000003,21.288571429000058,31.25,19.150000000000034,37.96,94.8842857143,6.04285714286,26.3,8.95,33.0,21.0,83.1,0
200108,0.1353714,0.0823,0.12975710000000001,0.18404289999999998,16.17,22.920000000000016,23.82857142900002,21.58000000000004,31.25,17.450000000000045,34.18,92.84285714290002,7.585714285710001,26.9333333333,10.0,33.2,21.0,38.1,0
200109,0.30764,0.2282167,0.2245,0.2912833,47.14,23.888571429000024,25.157142857000053,22.617142857000033,31.950000000000045,20.55000000000001,26.96,93.3142857143,7.385714285710001,26.56,9.48,33.2,20.5,21.1,0
200110,0.18204289999999998,0.289,0.20687139999999998,0.2063286,118.07,24.468571429000065,25.542857142999992,23.310000000000002,32.650000000000034,21.650000000000034,83.89,94.09285714290002,6.58571428571,27.2,10.15,33.3,20.0,87.1,0
200111,0.20538330000000002,0.1769,0.2063571,0.2041286,74.34,23.640000000000043,24.978571429000056,22.394285714000034,36.150000000000034,19.650000000000034,195.2,94.0942857143,8.28571428571,27.05,12.1,34.2,20.0,39.9,0
200112,0.18834289999999998,0.1950333,0.1635429,0.28414290000000003,90.35,25.55142857100003,26.600000000000023,22.00714285700002,36.55000000000001,20.05000000000001,32.6,82.80142857140001,10.6142857143,27.4333333333,11.433333333299998,34.1,20.0,70.8,0
200113,0.16238,0.15081670000000003,0.09465714,0.13225710000000002,94.06,23.702857143000017,24.450000000000045,22.928571429000044,30.05000000000001,19.650000000000034,304.52,95.9242857143,6.2,27.05,10.95,34.2,20.0,80.0,0
200114,0.2678143,0.3126429,0.2615,0.2584,86.46,23.155714286000034,24.678571429000044,22.54571428600002,32.35000000000002,19.75,91.43,96.7371428571,6.65714285714,27.16,10.98,35.0,20.5,46.2,0
200115,0.3827571,0.37097140000000006,0.3438857,0.37627140000000003,80.82,24.02571428599998,25.150000000000034,22.980000000000018,32.35000000000002,18.950000000000045,110.1,94.6028571429,6.77142857143,26.46,11.66,34.0,19.5,120.1,0
200116,0.3125429,0.28221430000000003,0.2621286,0.4074857,77.73,23.912857142999997,25.0,22.835714285999984,31.950000000000045,19.650000000000034,120.32,94.6157142857,7.5,27.34,11.04,33.5,20.4,45.3,1
200117,0.2456143,0.2148429,0.27337140000000004,0.2288,78.01,24.81142857100002,26.05714285700003,22.27857142900001,34.650000000000034,20.05000000000001,78.3,88.14857142860001,10.2428571429,27.633333333299998,10.933333333299998,34.3,21.0,14.9,0
200118,0.2540143,0.179,0.31282859999999996,0.2625571,94.77,24.135714285999995,25.5,22.590000000000032,32.450000000000045,19.950000000000045,103.87,92.19285714290001,7.414285714289999,27.625,11.325,35.2,20.5,51.0,0
200119,0.2664571,0.1886,0.1962,0.22732860000000002,45.56,23.985714286000018,25.05000000000001,23.182857143000035,31.950000000000045,18.950000000000045,85.9,95.82,7.085714285710001,26.6,8.8,32.7,21.4,66.0,0
200120,0.3153429,0.31965,0.2627,0.30348569999999997,74.08,24.147142857000006,25.157142857000053,23.840000000000032,32.450000000000045,21.55000000000001,80.3,98.34142857139999,5.6428571428600005,26.792708333337497,9.478125,32.5,20.477777777777778,0.0,0
200121,0.2985857,0.37966669999999997,0.1842429,0.26852859999999995,70.81,23.77285714300001,24.80714285700003,22.677142857000035,32.450000000000045,19.850000000000023,53.1,94.71,8.54285714286,27.4333333333,11.933333333299998,34.2,20.5,64.1,1
200122,0.2999429,0.3029429,0.3187143,0.38744290000000003,90.07,23.695714285999998,24.850000000000023,22.03000000000003,31.650000000000034,18.650000000000034,20.3,91.4657142857,8.8,27.25,12.65,34.8,20.5,32.0,1
200123,0.36356669999999996,0.18191429999999997,0.2539714,0.2467286,126.46,23.541428570999983,24.742857143000037,21.310000000000002,34.450000000000045,18.350000000000023,30.63,89.4871428571,9.72857142857,26.866666666700002,10.733333333300001,34.0,19.8,17.0,0
200124,0.3170833,0.2989667,0.2198714,0.2173429,47.13,22.332857143000012,23.28571428600003,21.191428571000017,29.450000000000045,18.75,95.06,94.0171428571,7.27142857143,26.88,10.68,33.4,20.0,37.1,0
200125,0.1041,0.10824289999999999,0.05965714,0.11375710000000001,53.93,22.850000000000023,24.171428571000035,20.49714285700003,32.05000000000001,17.850000000000023,13.45,88.1714285714,9.41428571429,26.4,10.05,33.2,20.5,9.9,1
200126,0.1923,0.2752857,0.3164571,0.3254143,1.22,21.695714285999998,22.850000000000023,17.422857142999987,32.950000000000045,15.25,1.82,79.3228571429,12.3428571429,26.568749999999998,9.865625,32.3,17.1,31.0,0
200127,0.22908330000000002,0.1932667,0.2704571,0.2421857,52.1,22.645714285999986,23.900000000000034,19.602857142999994,31.850000000000023,18.150000000000034,23.6,84.8571428571,8.55714285714,26.5,11.3666666667,33.2,20.0,70.1,0
200128,0.3597167,0.3110571,0.2649857,0.43884290000000004,39.09,22.658571429000062,23.871428571000024,20.288571429000058,34.05000000000001,17.150000000000034,16.7,88.3228571429,9.7,27.35,10.95,33.5,19.5,22.3,0
200129,0.3195,0.2050857,0.1947429,0.3616333,52.05,24.405714286000034,25.77857142900001,20.96571428599998,34.75,17.950000000000045,18.0,84.2457142857,11.4285714286,26.7666666667,10.0666666667,32.8,21.0,36.8,0
200130,0.2911571,0.2526333,0.2182,0.3259857,54.52,23.665714286000025,25.071428571000013,21.841428570999994,32.85000000000002,18.850000000000023,38.29,90.8142857143,10.2714285714,27.366666666700002,11.4,34.0,21.2,25.2,0
200131,0.23711669999999999,0.1956167,0.1883143,0.1339,27.97,24.141428571000006,26.02857142900001,20.30285714300004,34.950000000000045,16.650000000000034,9.71,82.2257142857,12.871428571400001,26.52,10.88,34.0,18.4,10.9,0
200132,0.20075710000000002,0.2377286,0.2236429,0.2043571,0.0,25.387142857000015,26.985714286000018,18.237142857000038,35.55000000000001,17.850000000000023,0.2,66.66428571430001,14.642857142899999,27.1,12.175,33.5,17.8,44.57500000000001,0
200133,0.2821714,0.2735571,0.2658571,0.3664571,5.14,25.24571428600001,26.635714285999995,18.874285714000052,36.55000000000001,18.850000000000023,0.0,69.4757142857,13.3142857143,27.125,12.25,33.4,20.0,18.0,0
200134,0.2407571,0.1931143,0.2063429,0.2469143,9.97,25.29000000000002,26.664285714000016,20.867142857000033,35.650000000000034,18.55000000000001,30.1,78.3885714286,12.2,27.6,11.68,34.2,20.0,47.9,0
200135,0.2280714,0.19998570000000002,0.23314290000000001,0.2646429,47.58,25.601428570999985,27.36428571400006,20.575714285999993,38.05000000000001,19.850000000000023,16.9,76.9557142857,12.8,27.2,12.4666666667,35.2,20.0,31.0,0
200136,0.30695,0.2410286,0.1908714,0.3389429,44.45,25.541428570999983,27.371428571000024,21.755714286,38.05000000000001,18.55000000000001,39.8,81.9871428571,13.4428571429,27.375,12.15,34.3,20.8,35.1,0
200137,0.3084571,0.2503143,0.2983,0.4290714,36.2,25.51571428599999,26.97142857099999,20.972857143,38.35000000000002,17.75,19.6,78.9571428571,13.7857142857,27.375,11.525,35.2,20.1,41.9,0
200138,0.3533143,0.34397140000000004,0.35867140000000003,0.3530429,66.4,24.81285714300003,26.271428571,21.447142857000017,35.85000000000002,19.75,65.54,84.0328571429,10.9285714286,27.525,12.75,35.0,20.2,69.0,0
200139,0.33467140000000006,0.3886143,0.2854,0.31977140000000004,26.48,25.55714285700003,27.75714285700002,21.145714285999986,37.25,18.55000000000001,21.9,79.3657142857,14.042857142899999,27.25,11.925,33.4,20.3,13.2,0
200140,0.3343857,0.2712857,0.2416857,0.4444,63.42,26.397142857000006,27.55714285700003,21.618571429000042,37.85000000000002,18.650000000000034,32.6,78.33,14.128571428599999,28.3,13.34,35.5,20.4,14.2,0
200141,0.4202857,0.3819571,0.4438,0.5460166999999999,58.75,26.00857142900003,27.135714285999995,20.662857142999997,39.150000000000034,17.650000000000034,12.3,74.4185714286,11.3428571429,28.525,12.475,36.8,21.8,30.9,0
200142,0.3102,0.29712859999999996,0.3454857,0.3820571,77.89,27.158571429000062,29.05000000000001,21.06428571400005,39.75,19.25,49.2,72.1628571429,12.885714285699999,27.633333333299998,12.5333333333,36.7,20.0,159.0,0
200143,0.1244833,0.2392667,0.1845,0.2055714,77.15,25.434285714000055,26.921428571000035,23.457142857000008,37.450000000000045,20.75,114.36,90.2657142857,9.85714285714,28.0666666667,11.9666666667,35.0,21.0,89.1,0
200144,0.2108857,0.2075667,0.2066143,0.23199999999999998,83.53,25.191428571000017,26.357142857000042,22.155714286000034,35.650000000000034,18.850000000000023,46.46,85.5728571429,11.271428571400001,27.64,10.38,35.8,21.5,76.0,0
200145,0.3581429,0.2793429,0.30597140000000006,0.3714,34.54,25.36428571400006,26.600000000000023,23.04571428600002,36.55000000000001,19.350000000000023,164.74,89.0042857143,10.1,27.525,11.025,34.4,21.3,35.1,0
200146,0.2773286,0.2303,0.2773,0.29697140000000005,61.82,25.697142857000017,27.428571429000044,23.04857142900005,37.35000000000002,20.850000000000023,181.2,87.48142857139999,9.7,28.44,10.18,34.5,21.0,43.9,0
200147,0.3297,0.3304167,0.3406429,0.4415714,65.89,25.970000000000027,27.335714285999984,23.602857142999994,36.35000000000002,21.05000000000001,56.3,88.83714285709999,9.22857142857,27.575,11.575,33.7,20.8,31.0,1
200148,0.3015,0.3613,0.30557140000000005,0.3699167,47.46,25.405714286000034,26.485714286000018,22.661428570999988,36.85000000000002,21.25,31.5,87.3771428571,8.014285714289999,28.2333333333,11.666666666700001,35.3,21.8,12.2,1
200149,0.3250571,0.2264714,0.2992571,0.35047140000000004,46.86,25.604285714000014,27.071428571000013,22.831428571000004,35.35000000000002,21.450000000000045,158.5,87.24,8.87142857143,28.425,11.65,35.5,21.2,23.1,1
200150,0.3260333,0.2355333,0.31557140000000006,0.3066429,138.22,25.09571428600003,26.442857143000026,24.350000000000023,32.650000000000034,20.75,72.94,96.1185714286,7.785714285710001,27.84,10.96,35.0,21.0,75.0,2
200151,0.2229429,0.2240714,0.2128143,0.1841286,43.95,25.414285714000016,26.52857142900001,24.06142857100002,36.150000000000034,21.950000000000045,85.9,93.94714285709999,7.385714285710001,27.075,9.5,32.9,21.0,57.9,4
200152,0.29818890000000003,0.3380778,0.2887889,0.3417,100.72,25.088571429000012,26.200000000000045,24.361428571000033,33.55000000000001,21.55000000000001,109.64,96.3557142857,6.5,27.35,8.65,33.3,22.0,25.1,1
200201,0.40572859999999994,0.3484,0.3686429,0.3800143,70.16,23.98285714299999,24.72142857099999,22.910000000000025,31.350000000000023,19.350000000000023,109.8,94.5885714286,5.94285714286,27.95,9.45,33.2,23.0,45.3,4
200202,0.3275833,0.3759167,0.41026670000000004,0.3833333,64.79,26.862857143000042,28.121428571000024,21.76285714300002,36.650000000000034,21.650000000000034,5.5,76.6028571429,11.4,28.9666666667,11.933333333299998,35.4,21.0,7.1,11
200203,0.24108569999999999,0.14565,0.27802859999999996,0.19764289999999998,22.77,26.727142857000047,27.75714285700002,21.45571428599999,36.25,18.650000000000034,4.7,75.2042857143,12.128571428599999,28.8,12.7666666667,36.0,22.0,5.0,16
200204,0.1041286,0.1483286,0.1121857,0.1419143,121.07,25.76571428599999,26.728571429000056,21.960000000000036,35.55000000000001,20.05000000000001,19.91,81.5271428571,10.214285714299999,27.94,11.8,35.8,21.0,18.0,23
200205,0.23789815555555555,0.21955344444444447,0.22180686666666669,0.24006376666666668,59.4,23.708571429000017,24.75,22.987142857000038,31.05000000000001,20.950000000000045,43.12,96.2671428571,5.22857142857,26.3,9.7,32.5,20.8,120.2,12
200206,0.18491670000000002,0.1733286,0.16874289999999997,0.1844286,4.68,22.76285714300002,23.542857142999992,22.081428571000004,31.05000000000001,18.850000000000023,69.96,96.6414285714,5.18571428571,26.625,9.725,34.0,20.8,70.4,14
200207,0.29197140000000005,0.2241429,0.3051,0.37327140000000003,104.37,24.697142857000017,26.142857143000015,23.394285714000034,31.55000000000001,21.350000000000023,33.3,93.4385714286,7.7,27.85,10.725,33.6,20.8,62.8,18
200208,0.1288,0.12243330000000001,0.09594286,0.1251714,37.46,24.54571428600002,25.871428571000024,22.972857143,32.35000000000002,20.75,49.43,92.05,7.72857142857,27.02,9.78,33.5,21.0,14.0,8
200209,0.1162,0.17874289999999998,0.08991429,0.2104143,80.14,23.912857142999997,25.042857142999992,23.36428571400006,31.850000000000023,21.350000000000023,201.2,97.15714285709998,5.81428571429,26.7,9.6,32.2,20.5,47.6,7
200210,0.3183667,0.2556,0.266,0.2973833,92.84,25.390000000000043,26.80714285700003,23.54857142900005,35.650000000000034,21.350000000000023,160.1,91.2214285714,8.97142857143,27.85,13.2,35.7,21.0,48.3,10
