yearweekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases2
199018,0.1226,0.103725,0.19848329999999997,0.17761670000000002,12.42,24.422857142999987,24.592857143000003,19.26428571400004,26.650000000000034,22.75,32.0,73.3657142857,2.62857142857,25.4428571429,6.9,29.4,20.0,16.0,4
199019,0.1699,0.142175,0.1623571,0.15548570000000003,22.82,25.06142857100002,25.292857142999992,20.80142857100003,27.75,23.25,17.94,77.36857142859999,2.37142857143,26.714285714299997,6.37142857143,31.7,22.2,8.6,5
199020,0.03225,0.1729667,0.1572,0.1708429,34.54,25.631428571000015,25.728571429000056,22.28428571400002,27.350000000000023,24.150000000000034,26.1,82.0528571429,2.3,26.714285714299997,6.485714285709999,32.2,22.8,41.4,4
199021,0.1286333,0.2450667,0.22755709999999998,0.2358857,15.36,25.837142857000003,26.07857142900002,22.160000000000025,28.25,23.850000000000023,13.9,80.3371428571,2.4285714285699997,27.471428571399997,6.77142857143,33.3,23.3,4.0,3
199022,0.1962,0.2622,0.2512,0.24734,7.52,26.368571429000042,26.51428571400004,22.671428571000035,28.75,24.350000000000023,12.2,80.46,3.01428571429,28.9428571429,9.37142857143,35.0,23.9,5.8,6
199023,0.05565625,0.17485,0.2543143,0.18174289999999999,9.58,26.480000000000018,26.61428571400006,22.701428571000008,29.25,24.950000000000045,26.49,79.8914285714,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2
199024,0.1129,0.0928,0.2050714,0.2102714,3.48,26.05714285700003,26.071428571000013,22.71571428599998,28.150000000000034,24.55000000000001,38.6,82.0,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,4
199025,0.0725,0.0725,0.1514714,0.1330286,151.12,26.441428571000017,26.378571429000033,23.381428571000015,27.450000000000045,25.25,30.0,83.3757142857,1.57142857143,28.3714285714,7.685714285710001,33.9,22.8,21.1,5
199026,0.10245,0.146175,0.1255714,0.1236,19.32,26.428571429000044,26.407142857000053,23.228571429000056,28.950000000000045,24.55000000000001,37.51,82.7685714286,1.8857142857099998,28.3285714286,7.385714285710001,33.9,22.8,21.1,10
199027,0.07528035735714285,0.12155,0.16068329999999997,0.20256670000000002,14.41,27.004285714000048,27.128571429000033,23.50142857100002,29.150000000000034,25.55000000000001,28.4,81.2814285714,2.01428571429,28.3285714286,6.514285714290001,33.9,24.4,1.1,6
199028,0.192875,0.08235,0.1919429,0.1529286,22.27,26.362857143000042,26.442857143000026,22.891428571000006,28.650000000000034,24.850000000000023,43.72,81.4671428571,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,8
199029,0.2916,0.2118,0.3012,0.2806667,59.17,26.51714285700001,26.600000000000023,23.184285714000055,28.850000000000023,24.150000000000034,40.9,82.1442857143,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,2
199030,0.15056670000000003,0.1717,0.2269,0.2145571,16.48,26.408571429000062,26.485714286000018,22.810000000000002,28.650000000000034,23.950000000000045,42.53,80.7428571429,2.0714285714300003,28.1142857143,6.3571428571399995,31.7,22.8,32.6,6
199031,0.030698809285714283,0.24715,0.3797,0.3813571,32.66,26.712857143000008,26.80000000000001,23.02285714300001,29.850000000000023,25.150000000000034,34.6,80.58428571430001,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,17
199032,0.07412369071428572,0.06433333,0.16444289999999998,0.1388571,28.8,27.24142857100003,27.32857142900002,23.382857143000024,29.350000000000023,25.650000000000034,20.0,79.65,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,23
199033,0.06728888953333333,0.12803330000000002,0.2069571,0.16824289999999997,90.75,26.80857142900004,26.80714285700003,23.885714285999995,29.450000000000045,25.350000000000023,101.9,84.1785714286,1.8571428571400002,28.0428571429,6.68571428571,32.8,22.8,44.7,13
199034,0.1902333,0.1688,0.1676571,0.1722857,32.4,27.182857143000035,27.26428571400004,23.57857142900002,29.350000000000023,24.950000000000045,25.9,80.9471428571,2.48571428571,28.342857142899998,7.014285714289999,33.3,23.3,5.4,21
