yearweekofyear,total_cases
199018,4
199019,5
199020,4
199021,3
199022,6
199023,2
199024,4
199025,5
199026,10
199027,6
199028,8
199029,2
199030,6
199031,17
199032,23
199033,13
199034,21
199035,28
199036,24
199037,20
199038,40
199039,27
199040,42
199041,33
199042,43
199043,37
199044,57
199045,71
199046,44
199047,56
199048,53
199049,52
199050,47
199051,26
199052,27
199101,21
199102,21
199103,26
199104,34
199105,37
199106,17
199107,19
199108,25
199109,18
199110,21
199111,17
199112,17
199113,16
199114,16
199115,15
199116,23
199117,16
199118,17
199119,12
199120,17
199121,10
199122,15
199123,19
199124,21
199125,14
199126,18
199127,13
199128,14
199129,18
199130,23
199131,25
199132,62
199133,60
199134,76
199135,66
199136,64
199137,68
199138,89
199139,92
199140,140
199141,116
199142,142
199143,129
199144,140
199145,140
199146,127
199147,129
199148,169
199149,141
199150,108
199151,78
199152,70
199201,81
199202,104
199203,90
199204,85
199205,55
199206,53
199207,65
199208,33
199209,38
199210,59
199211,40
199212,37
199213,29
199214,30
199215,30
199216,28
199217,23
199218,24
199219,29
199220,26
199221,23
199222,20
199223,19
199224,20
199225,26
199226,29
199227,31
199228,28
199229,26
199230,32
199231,35
199232,33
199233,30
199234,52
199235,59
199236,67
199237,65
199238,74
199239,70
199240,61
199241,53
199242,76
199243,61
199244,57
199245,44
199246,34
199247,47
199248,60
199249,60
199250,53
199251,36
199252,31
199353,30
199301,32
199302,28
199303,33
199304,33
199305,35
199306,22
199307,13
199308,13
199309,21
199310,17
199311,11
199312,8
199313,8
199314,6
199315,6
199316,7
199317,12
199318,17
199319,10
199320,10
199321,18
199322,19
199323,12
199324,22
199325,12
199326,21
199327,18
199328,16
199329,16
199330,22
199331,17
199332,25
199333,23
199334,12
199335,25
199336,28
199337,27
199338,18
199339,23
199340,23
199341,29
199342,38
199343,36
199344,43
199345,46
199346,31
199347,25
199348,40
199349,31
199350,38
199351,30
199452,22
199401,31
199402,26
199403,35
199404,36
199405,39
199406,25
199407,31
199408,37
199409,33
199410,25
199411,24
199412,18
199413,23
199414,13
199415,18
199416,14
199417,17
199418,22
199419,13
