city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,7
sj,2008,20,8
sj,2008,21,8
sj,2008,22,9
sj,2008,23,11
sj,2008,24,13
sj,2008,25,14
sj,2008,26,15
sj,2008,27,15
sj,2008,28,15
sj,2008,29,15
sj,2008,30,17
sj,2008,31,16
sj,2008,32,18
sj,2008,33,17
sj,2008,34,17
sj,2008,35,17
sj,2008,36,18
sj,2008,37,20
sj,2008,38,21
sj,2008,39,21
sj,2008,40,22
sj,2008,41,19
sj,2008,42,18
sj,2008,43,16
sj,2008,44,15
sj,2008,45,15
sj,2008,46,15
sj,2008,47,15
sj,2008,48,15
sj,2008,49,15
sj,2008,50,15
sj,2008,51,15
sj,2008,52,14
sj,2009,1,15
sj,2009,2,14
sj,2009,3,15
sj,2009,4,15
sj,2009,5,15
sj,2009,6,15
sj,2009,7,15
sj,2009,8,15
sj,2009,9,14
sj,2009,10,13
sj,2009,11,15
sj,2009,12,14
sj,2009,13,14
sj,2009,14,14
sj,2009,15,14
sj,2009,16,14
sj,2009,17,15
sj,2009,18,15
sj,2009,19,15
sj,2009,20,17
sj,2009,21,18
sj,2009,22,17
sj,2009,23,15
sj,2009,24,16
sj,2009,25,16
sj,2009,26,15
sj,2009,27,14
sj,2009,28,15
sj,2009,29,15
sj,2009,30,16
sj,2009,31,17
sj,2009,32,15
sj,2009,33,16
sj,2009,34,17
sj,2009,35,17
sj,2009,36,16
sj,2009,37,17
sj,2009,38,16
sj,2009,39,16
sj,2009,40,17
sj,2009,41,18
sj,2009,42,19
sj,2009,43,18
sj,2009,44,14
sj,2009,45,14
sj,2009,46,15
sj,2009,47,15
sj,2009,48,15
sj,2009,49,15
sj,2009,50,14
sj,2009,51,15
sj,2009,52,14
sj,2010,53,14
sj,2010,1,14
sj,2010,2,14
sj,2010,3,17
sj,2010,4,15
sj,2010,5,15
sj,2010,6,14
sj,2010,7,14
sj,2010,8,14
sj,2010,9,14
sj,2010,10,15
sj,2010,11,14
sj,2010,12,14
sj,2010,13,13
sj,2010,14,13
sj,2010,15,14
sj,2010,16,15
sj,2010,17,16
sj,2010,18,15
sj,2010,19,15
sj,2010,20,16
sj,2010,21,15
sj,2010,22,18
sj,2010,23,18
sj,2010,24,17
sj,2010,25,18
sj,2010,26,19
sj,2010,27,20
sj,2010,28,21
sj,2010,29,24
sj,2010,30,26
sj,2010,31,32
sj,2010,32,33
sj,2010,33,35
sj,2010,34,34
sj,2010,35,35
sj,2010,36,36
sj,2010,37,36
sj,2010,38,35
sj,2010,39,35
sj,2010,40,36
sj,2010,41,38
sj,2010,42,36
sj,2010,43,33
sj,2010,44,35
sj,2010,45,33
sj,2010,46,31
sj,2010,47,29
sj,2010,48,27
sj,2010,49,27
sj,2010,50,24
sj,2010,51,22
sj,2011,52,18
sj,2011,1,17
sj,2011,2,15
sj,2011,3,14
sj,2011,4,14
sj,2011,5,14
sj,2011,6,15
sj,2011,7,14
sj,2011,8,14
sj,2011,9,13
sj,2011,10,14
sj,2011,11,13
sj,2011,12,14
sj,2011,13,14
sj,2011,14,14
sj,2011,15,14
sj,2011,16,15
sj,2011,17,14
sj,2011,18,16
sj,2011,19,15
sj,2011,20,17
sj,2011,21,17
sj,2011,22,19
sj,2011,23,21
sj,2011,24,23
sj,2011,25,29
sj,2011,26,35
sj,2011,27,35
sj,2011,28,35
sj,2011,29,35
sj,2011,30,37
sj,2011,31,36
sj,2011,32,35
sj,2011,33,35
sj,2011,34,37
sj,2011,35,35
sj,2011,36,35
sj,2011,37,35
sj,2011,38,32
sj,2011,39,36
sj,2011,40,36
sj,2011,41,36
sj,2011,42,33
sj,2011,43,32
sj,2011,44,33
sj,2011,45,34
sj,2011,46,33
sj,2011,47,30
sj,2011,48,29
sj,2011,49,26
sj,2011,50,27
sj,2011,51,25
sj,2012,52,26
sj,2012,1,27
sj,2012,2,27
sj,2012,3,26
sj,2012,4,28
sj,2012,5,27
sj,2012,6,26
sj,2012,7,26
sj,2012,8,26
sj,2012,9,26
sj,2012,10,27
sj,2012,11,27
sj,2012,12,25
sj,2012,13,26
sj,2012,14,27
sj,2012,15,26
sj,2012,16,28
sj,2012,17,28
sj,2012,18,30
sj,2012,19,31
sj,2012,20,32
sj,2012,21,32
sj,2012,22,31
sj,2012,23,32
sj,2012,24,32
sj,2012,25,32
sj,2012,26,32
sj,2012,27,33
sj,2012,28,35
sj,2012,29,32
sj,2012,30,33
sj,2012,31,33
sj,2012,32,35
sj,2012,33,35
sj,2012,34,33
sj,2012,35,34
sj,2012,36,33
sj,2012,37,34
sj,2012,38,33
sj,2012,39,33
sj,2012,40,36
sj,2012,41,37
sj,2012,42,39
sj,2012,43,36
sj,2012,44,34
sj,2012,45,33
sj,2012,46,34
sj,2012,47,33
sj,2012,48,31
sj,2012,49,31
sj,2012,50,31
sj,2012,51,29
sj,2013,1,28
sj,2013,2,26
sj,2013,3,24
sj,2013,4,22
sj,2013,5,18
sj,2013,6,15
sj,2013,7,14
sj,2013,8,13
sj,2013,9,14
sj,2013,10,14
sj,2013,11,14
sj,2013,12,14
sj,2013,13,14
sj,2013,14,14
sj,2013,15,14
sj,2013,16,15
sj,2013,17,15
iq,2010,26,5
iq,2010,27,5
iq,2010,28,5
iq,2010,29,4
iq,2010,30,4
iq,2010,31,5
iq,2010,32,5
iq,2010,33,5
iq,2010,34,5
iq,2010,35,5
iq,2010,36,5
iq,2010,37,5
iq,2010,38,5
iq,2010,39,5
iq,2010,40,6
iq,2010,41,5
iq,2010,42,5
iq,2010,43,5
iq,2010,44,5
iq,2010,45,7
iq,2010,46,5
iq,2010,47,5
iq,2010,48,5
iq,2010,49,5
iq,2010,50,5
iq,2010,51,5
iq,2011,52,11
iq,2011,1,11
iq,2011,2,11
iq,2011,3,10
iq,2011,4,11
iq,2011,5,11
iq,2011,6,10
iq,2011,7,10
iq,2011,8,10
iq,2011,9,7
iq,2011,10,7
iq,2011,11,7
iq,2011,12,6
iq,2011,13,6
iq,2011,14,5
iq,2011,15,7
iq,2011,16,5
iq,2011,17,5
iq,2011,18,4
iq,2011,19,5
iq,2011,20,6
iq,2011,21,5
iq,2011,22,4
iq,2011,23,5
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,5
iq,2011,30,4
iq,2011,31,5
iq,2011,32,5
iq,2011,33,5
iq,2011,34,4
iq,2011,35,5
iq,2011,36,5
iq,2011,37,5
iq,2011,38,5
iq,2011,39,5
iq,2011,40,5
iq,2011,41,5
iq,2011,42,5
iq,2011,43,5
iq,2011,44,5
iq,2011,45,5
iq,2011,46,5
iq,2011,47,5
iq,2011,48,5
iq,2011,49,6
iq,2011,50,5
iq,2011,51,9
iq,2012,52,20
iq,2012,1,13
iq,2012,2,14
iq,2012,3,11
iq,2012,4,11
iq,2012,5,13
iq,2012,6,12
iq,2012,7,9
iq,2012,8,10
iq,2012,9,8
iq,2012,10,9
iq,2012,11,6
iq,2012,12,6
iq,2012,13,7
iq,2012,14,5
iq,2012,15,6
iq,2012,16,5
iq,2012,17,5
iq,2012,18,5
iq,2012,19,5
iq,2012,20,4
iq,2012,21,5
iq,2012,22,5
iq,2012,23,4
iq,2012,24,5
iq,2012,25,5
iq,2012,26,4
iq,2012,27,4
iq,2012,28,5
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,5
iq,2012,34,5
iq,2012,35,5
iq,2012,36,5
iq,2012,37,5
iq,2012,38,5
iq,2012,39,5
iq,2012,40,5
iq,2012,41,5
iq,2012,42,5
iq,2012,43,5
iq,2012,44,5
iq,2012,45,5
iq,2012,46,8
iq,2012,47,5
iq,2012,48,5
iq,2012,49,5
iq,2012,50,5
iq,2012,51,6
iq,2013,1,12
iq,2013,2,17
iq,2013,3,12
iq,2013,4,11
iq,2013,5,11
iq,2013,6,11
iq,2013,7,9
iq,2013,8,9
iq,2013,9,9
iq,2013,10,8
iq,2013,11,7
iq,2013,12,7
iq,2013,13,7
iq,2013,14,6
iq,2013,15,5
iq,2013,16,5
iq,2013,17,6
iq,2013,18,4
iq,2013,19,5
iq,2013,20,6
iq,2013,21,5
iq,2013,22,5
iq,2013,23,5
iq,2013,24,4
iq,2013,25,4
iq,2013,26,5
