city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,20
sj,2008,20,24
sj,2008,21,23
sj,2008,22,26
sj,2008,23,26
sj,2008,24,22
sj,2008,25,26
sj,2008,26,26
sj,2008,27,24
sj,2008,28,33
sj,2008,29,28
sj,2008,30,34
sj,2008,31,34
sj,2008,32,39
sj,2008,33,54
sj,2008,34,40
sj,2008,35,51
sj,2008,36,61
sj,2008,37,56
sj,2008,38,54
sj,2008,39,51
sj,2008,40,58
sj,2008,41,45
sj,2008,42,54
sj,2008,43,36
sj,2008,44,53
sj,2008,45,59
sj,2008,46,49
sj,2008,47,37
sj,2008,48,44
sj,2008,49,27
sj,2008,50,37
sj,2008,51,32
sj,2008,52,21
sj,2009,1,32
sj,2009,2,24
sj,2009,3,36
sj,2009,4,34
sj,2009,5,35
sj,2009,6,29
sj,2009,7,23
sj,2009,8,22
sj,2009,9,21
sj,2009,10,22
sj,2009,11,22
sj,2009,12,15
sj,2009,13,14
sj,2009,14,15
sj,2009,15,15
sj,2009,16,19
sj,2009,17,20
sj,2009,18,21
sj,2009,19,20
sj,2009,20,25
sj,2009,21,21
sj,2009,22,26
sj,2009,23,25
sj,2009,24,28
sj,2009,25,31
sj,2009,26,28
sj,2009,27,28
sj,2009,28,40
sj,2009,29,35
sj,2009,30,35
sj,2009,31,35
sj,2009,32,41
sj,2009,33,51
sj,2009,34,39
sj,2009,35,53
sj,2009,36,59
sj,2009,37,53
sj,2009,38,58
sj,2009,39,58
sj,2009,40,67
sj,2009,41,51
sj,2009,42,60
sj,2009,43,43
sj,2009,44,56
sj,2009,45,59
sj,2009,46,48
sj,2009,47,40
sj,2009,48,50
sj,2009,49,35
sj,2009,50,45
sj,2009,51,36
sj,2009,52,31
sj,2010,53,35
sj,2010,1,32
sj,2010,2,37
sj,2010,3,34
sj,2010,4,28
sj,2010,5,27
sj,2010,6,26
sj,2010,7,31
sj,2010,8,34
sj,2010,9,30
sj,2010,10,24
sj,2010,11,27
sj,2010,12,23
sj,2010,13,21
sj,2010,14,16
sj,2010,15,25
sj,2010,16,29
sj,2010,17,28
sj,2010,18,22
sj,2010,19,27
sj,2010,20,25
sj,2010,21,33
sj,2010,22,29
sj,2010,23,28
sj,2010,24,30
sj,2010,25,28
sj,2010,26,1
sj,2010,27,0
sj,2010,28,29
sj,2010,29,42
sj,2010,30,11
sj,2010,31,0
sj,2010,32,33
sj,2010,33,32
sj,2010,34,0
sj,2010,35,0
sj,2010,36,32
sj,2010,37,0
sj,2010,38,46
sj,2010,39,49
sj,2010,40,13
sj,2010,41,42
sj,2010,42,0
sj,2010,43,15
sj,2010,44,50
sj,2010,45,62
sj,2010,46,28
sj,2010,47,52
sj,2010,48,17
sj,2010,49,23
sj,2010,50,56
sj,2010,51,20
sj,2011,52,57
sj,2011,1,64
sj,2011,2,29
sj,2011,3,13
sj,2011,4,49
sj,2011,5,54
sj,2011,6,24
sj,2011,7,18
sj,2011,8,38
sj,2011,9,31
sj,2011,10,53
sj,2011,11,31
sj,2011,12,60
sj,2011,13,26
sj,2011,14,47
sj,2011,15,17
sj,2011,16,31
sj,2011,17,26
sj,2011,18,39
sj,2011,19,15
sj,2011,20,19
sj,2011,21,41
sj,2011,22,24
sj,2011,23,31
sj,2011,24,12
sj,2011,25,31
sj,2011,26,29
sj,2011,27,12
sj,2011,28,34
sj,2011,29,16
sj,2011,30,15
sj,2011,31,34
sj,2011,32,11
sj,2011,33,29
sj,2011,34,28
sj,2011,35,15
sj,2011,36,29
sj,2011,37,10
sj,2011,38,8
sj,2011,39,25
sj,2011,40,11
sj,2011,41,24
sj,2011,42,18
sj,2011,43,12
sj,2011,44,7
sj,2011,45,19
sj,2011,46,12
sj,2011,47,3
sj,2011,48,9
sj,2011,49,17
sj,2011,50,20
sj,2011,51,5
sj,2012,52,3
sj,2012,1,25
sj,2012,2,17
sj,2012,3,2
sj,2012,4,18
sj,2012,5,8
sj,2012,6,18
sj,2012,7,4
sj,2012,8,23
sj,2012,9,4
sj,2012,10,0
sj,2012,11,18
sj,2012,12,25
sj,2012,13,4
sj,2012,14,0
sj,2012,15,22
sj,2012,16,2
