candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,winner2,uncontested,party_id2,state_seat_count,district_vote_count,state_vote_count,district_candidate_count,wasted_winning_votes,wasted_losing_votes,wasted_votes
young-513,youngd,Don,True,Young,Don Young,4,republican,50.5,50.5,1,AK,155088,True,1,0,republican,1,306970,306970,4,44068.0,0,44068.0
lindbeck-65461,lindbecks,Steve,False,Lindbeck,Steve Lindbeck,1,democrat,36.2,36.2,1,AK,111019,False,0,0,democrat,1,306970,306970,4,0.0,111019,111019.0
mcdermott-62643,mcdermottj,Jim,False,McDermott,Jim McDermott,2,libertarian,10.3,10.3,1,AK,31770,False,0,0,other,1,306970,306970,4,0.0,31770,31770.0
souphanavong-65821,souphanavongb,Bernie,False,Souphanavong,Bernie Souphanavong,3,no-party-affiliation,3.0,3.0,1,AK,9093,False,0,0,other,1,306970,306970,4,0.0,9093,9093.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AL,0,False,0,0,democrat,7,167227,1672272,1,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AL,0,False,0,0,other,7,167227,1672272,1,0.0,0,0.0
byrne-52813,byrneb,Bradley,True,Byrne,Bradley Byrne,1,republican,100.0,100.0,1,AL,167227,True,1,1,republican,7,167227,1672272,1,83613.0,0,83613.0
roby-60628,robym,Martha,True,Roby,Martha Roby,2,republican,54.6,54.6,2,AL,134886,True,1,0,republican,7,246975,1672272,2,11398.0,0,11398.0
mathis-3739,mathisn,Nathan,False,Mathis,Nathan Mathis,1,democrat,45.4,45.4,2,AL,112089,False,0,0,democrat,7,246975,1672272,2,0.0,112089,112089.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AL,0,False,0,0,other,7,246975,1672272,2,0.0,0,0.0
rogers-1161,rogersm,Mike,True,Rogers,Mike Rogers,2,republican,67.0,67.0,3,AL,192164,True,1,0,republican,7,286713,1672272,2,48807.0,0,48807.0
smith-63525,smithj,Jesse,False,Smith,Jesse Smith,1,democrat,33.0,33.0,3,AL,94549,False,0,0,democrat,7,286713,1672272,2,0.0,94549,94549.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AL,0,False,0,0,other,7,286713,1672272,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AL,0,False,0,0,democrat,7,167227,1672272,1,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AL,0,False,0,0,other,7,167227,1672272,1,0.0,0,0.0
aderholt-523,aderholtr,Robert,True,Aderholt,Robert Aderholt,1,republican,100.0,100.0,4,AL,167227,True,1,1,republican,7,167227,1672272,1,83613.0,0,83613.0
brooks-60629,brooksm,Mo,True,Brooks,Mo Brooks,2,republican,66.8,66.8,5,AL,205647,True,1,0,republican,7,307881,1672272,2,51706.0,0,51706.0
boyd-64581,boydw,Will,False,Boyd,Will Boyd,1,democrat,33.2,33.2,5,AL,102234,False,0,0,democrat,7,307881,1672272,2,0.0,102234,102234.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AL,0,False,0,0,other,7,307881,1672272,2,0.0,0,0.0
palmer-63532,palmerg,Gary,True,Palmer,Gary Palmer,2,republican,74.6,74.6,6,AL,245313,True,1,0,republican,7,329022,1672272,2,80801.0,0,80801.0
putman-64582,putmand,David,False,Putman,David J. Putnam,1,democrat,25.4,25.4,6,AL,83709,False,0,0,democrat,7,329022,1672272,2,0.0,83709,83709.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AL,0,False,0,0,other,7,329022,1672272,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AL,0,False,0,0,republican,7,167227,1672272,1,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AL,0,False,0,0,other,7,167227,1672272,1,0.0,0,0.0
sewell-60639,sewellt,Terri,True,Sewell,Terri Sewell,1,democrat,100.0,100.0,7,AL,167227,True,1,1,democrat,7,167227,1672272,1,83613.0,0,83613.0
crawford-60226,crawfordr,Rick,True,Crawford,Rick Crawford,1,republican,76.3,76.3,1,AR,183866,True,1,0,republican,4,241047,1068274,2,63342.0,0,63342.0
west-65434,westm,Mark,False,West,Mark West,2,libertarian,23.7,23.7,1,AR,57181,False,0,0,other,4,241047,1068274,2,0.0,57181,57181.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AR,0,False,0,0,democrat,4,241047,1068274,2,0.0,0,0.0
hill-63416,hillf,French,True,Hill,French Hill,3,republican,58.4,58.4,2,AR,176472,True,1,0,republican,4,302161,1068274,3,65124.0,0,65124.0
curry-64589,curryd,Dianne,False,Curry,Dianne Curry,1,democrat,36.9,36.9,2,AR,111347,False,0,0,democrat,4,302161,1068274,3,0.0,111347,111347.0
hayes-62182,hayesc,Chris,False,Hayes,Chris Hayes,2,libertarian,4.7,4.7,2,AR,14342,False,0,0,other,4,302161,1068274,3,0.0,14342,14342.0
womack-60238,womacks,Steve,True,Womack,Steve Womack,2,republican,77.3,77.3,3,AR,217192,True,1,0,republican,4,280907,1068274,2,76738.0,0,76738.0
isaacson-65566,isaacsons,Steve,False,Isaacson,Steve Isaacson,1,libertarian,22.7,22.7,3,AR,63715,False,0,0,other,4,280907,1068274,2,0.0,63715,63715.0
