State,Party,Votes,Seats_Won,State_Seat_Count,State_Vote_Count,%_Votes,%_Winners,Votes_to_Elect_Candidate,%_of_Total,Missed_Seats,sort_order
AK,republican,155088,1,1,306970,50.522200866534185,100.0,155088.0,0.12090156796910469,0.0,1
AK,democrat,111019,0,1,306970,36.16607486073558,0.0,inf,inf,0.0,2
AK,other,40863,0,1,306970,13.311724272730235,0.0,inf,inf,0.0,3
AL,republican,1112464,6,7,1672272,66.52410612627611,85.71428571428571,185410.66666666666,0.14454013410577873,0.0,1
AL,democrat,559808,1,7,1672272,33.47589387372389,14.285714285714285,559808.0,0.43640813577870985,1.0,2
AL,other,0,0,7,1672272,0.0,0.0,,,0.0,3
AR,republican,760415,4,4,1068274,71.18164440958031,100.0,190103.75,0.1481987094540305,0.0,1
AR,democrat,111347,0,4,1068274,10.423074978891183,0.0,inf,inf,0.0,2
AR,other,196512,0,4,1068274,18.395280611528502,0.0,inf,inf,0.0,3
AZ,republican,1264378,5,9,2511991,50.33369944398686,55.55555555555556,252875.6,0.19713360505731023,0.0,1
AZ,democrat,1136913,4,9,2511991,45.25943763333547,44.44444444444444,284228.25,0.22157511274963038,0.0,2
AZ,other,110700,0,9,2511991,4.406862922677669,0.0,inf,inf,0.0,3
CA,republican,4682033,14,53,13414018,34.90403099205622,26.41509433962264,334430.9285714286,0.2607114905192495,4.0,1
CA,democrat,8624432,39,53,13414018,64.29417345347233,73.58490566037736,221139.28205128206,0.1723930022926473,0.0,2
CA,other,107553,0,53,13414018,0.8017955544714492,0.0,inf,inf,0.0,3
CO,republican,1288618,4,7,2701438,47.70118729358216,57.14285714285714,322154.5,0.2511411855095361,0.0,1
CO,democrat,1263791,3,7,2701438,46.78215824312829,42.857142857142854,421263.6666666667,0.3284034730502312,0.0,2
CO,other,149029,0,7,2701438,5.516654463289552,0.0,inf,inf,0.0,3
CT,republican,568134,0,5,1575117,36.069320564758044,0.0,inf,inf,1.0,1
CT,democrat,990139,5,5,1575117,62.861298557503986,100.0,198027.8,0.1543760414827212,0.0,2
CT,other,16844,0,5,1575117,1.0693808777379712,0.0,inf,inf,0.0,3
DE,republican,172301,0,1,420617,40.96386974373361,0.0,inf,inf,0.0,1
DE,democrat,233554,1,1,420617,55.52652413002803,100.0,233554.0,0.1820711132096376,0.0,2
DE,other,14762,0,1,420617,3.509606126238359,0.0,inf,inf,0.0,3
