candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner
young-513,youngd,Don,True,Young,Don Young,4,republican,50.5,50.5,1,AK,155088,True
lindbeck-65461,lindbecks,Steve,,Lindbeck,Steve Lindbeck,1,democrat,36.2,36.2,1,AK,111019,
mcdermott-62643,mcdermottj,Jim,,McDermott,Jim McDermott,2,libertarian,10.3,10.3,1,AK,31770,
souphanavong-65821,souphanavongb,Bernie,,Souphanavong,Bernie Souphanavong,3,no-party-affiliation,3.0,3.0,1,AK,9093,
byrne-52813,byrneb,Bradley,True,Byrne,Bradley Byrne,1,republican,0.0,0.0,1,AL,0,True
roby-60628,robym,Martha,True,Roby,Martha Roby,2,republican,54.6,54.6,2,AL,134886,True
mathis-3739,mathisn,Nathan,,Mathis,Nathan Mathis,1,democrat,45.4,45.4,2,AL,112089,
rogers-1161,rogersm,Mike,True,Rogers,Mike Rogers,2,republican,67.0,67.0,3,AL,192164,True
smith-63525,smithj,Jesse,,Smith,Jesse Smith,1,democrat,33.0,33.0,3,AL,94549,
aderholt-523,aderholtr,Robert,True,Aderholt,Robert Aderholt,1,republican,0.0,0.0,4,AL,0,True
brooks-60629,brooksm,Mo,True,Brooks,Mo Brooks,2,republican,66.8,66.8,5,AL,205647,True
boyd-64581,boydw,Will,,Boyd,Will Boyd,1,democrat,33.2,33.2,5,AL,102234,
palmer-63532,palmerg,Gary,True,Palmer,Gary Palmer,2,republican,74.6,74.6,6,AL,245313,True
putman-64582,putmand,David,,Putman,David J. Putnam,1,democrat,25.4,25.4,6,AL,83709,
sewell-60639,sewellt,Terri,True,Sewell,Terri Sewell,1,democrat,0.0,0.0,7,AL,0,True
crawford-60226,crawfordr,Rick,True,Crawford,Rick Crawford,1,republican,76.3,76.3,1,AR,183866,True
west-65434,westm,Mark,,West,Mark West,2,libertarian,23.7,23.7,1,AR,57181,
hill-63416,hillf,French,True,Hill,French Hill,3,republican,58.4,58.4,2,AR,176472,True
curry-64589,curryd,Dianne,,Curry,Dianne Curry,1,democrat,36.9,36.9,2,AR,111347,
hayes-62182,hayesc,Chris,,Hayes,Chris Hayes,2,libertarian,4.7,4.7,2,AR,14342,
womack-60238,womacks,Steve,True,Womack,Steve Womack,2,republican,77.3,77.3,3,AR,217192,True
isaacson-65566,isaacsons,Steve,,Isaacson,Steve Isaacson,1,libertarian,22.7,22.7,3,AR,63715,
